key,title,chart_type,chart_id,uuid,view_link,edit_link,iframe_embed,inject_embed
Figure 2.11,"Affordability, uncertainty about what to study, and a preference for full-time work are the main reasons young men say they do not pursue a degree after high school.",bar,622341,EaPN2TFXK,https://app.everviz.com/chart/EaPN2TFXK,https://app.everviz.com/edit/622341?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/EaPN2TFXK"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/EaPN2TFXK""></script>"
Figure 2.12,More young Black than Latino or white young men did not pursue a degree after high school because of a major life event. Fewer young Black men than their Latino or white peers cite costs.,bar,622342,MHF0ZlgmeL,https://app.everviz.com/chart/MHF0ZlgmeL,https://app.everviz.com/edit/622342?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/MHF0ZlgmeL"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/MHF0ZlgmeL""></script>"
Figure 2.13,Black and Latino young men are more likely than their white peers to report financial impacts from not obtaining a degree.,column,622343,YAabsm36F,https://app.everviz.com/chart/YAabsm36F,https://app.everviz.com/edit/622343?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/YAabsm36F"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/YAabsm36F""></script>"
Figure 2.14,Self-driven/distrusting young men without degrees are most likely to experience financial and social impacts from the lack of a credential.,bar,622344,vSWGGzuTow,https://app.everviz.com/chart/vSWGGzuTow,https://app.everviz.com/edit/622344?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/vSWGGzuTow"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/vSWGGzuTow""></script>"
Figure 2.15,Self-driven/distrusting young men are most likely to regret pursuing their degree,column,622345,Si27QDI4b,https://app.everviz.com/chart/Si27QDI4b,https://app.everviz.com/edit/622345?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/Si27QDI4b"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/Si27QDI4b""></script>"
Figure 2.16,Young Latino men are most likely to report they would like to earn a degree but face various barriers.,column,622346,O8_gTbNoPN,https://app.everviz.com/chart/O8_gTbNoPN,https://app.everviz.com/edit/622346?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/O8_gTbNoPN"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/O8_gTbNoPN""></script>"
Figure 2.17,"Many young men without degrees would like to earn one, but they see barriers.",column,622347,GhKx5jHJG,https://app.everviz.com/chart/GhKx5jHJG,https://app.everviz.com/edit/622347?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/GhKx5jHJG"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/GhKx5jHJG""></script>"
Figure 2.18,More young men than women pursued a college degree to build professional networks.,bar,622348,AW1p904D4,https://app.everviz.com/chart/AW1p904D4,https://app.everviz.com/edit/622348?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/AW1p904D4"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/AW1p904D4""></script>"
Figure 2.19,Young men who have a degree are more likely than those without a degree to believe hard work will lead to success.,column,622349,wZiqhYo7Hu,https://app.everviz.com/chart/wZiqhYo7Hu,https://app.everviz.com/edit/622349?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/wZiqhYo7Hu"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/wZiqhYo7Hu""></script>"
Figure 2.20,"Young men with degrees report their college education was useful in helping them grow personally, professionally, and socially.",bar,622350,1el__yAo5,https://app.everviz.com/chart/1el__yAo5,https://app.everviz.com/edit/622350?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/1el__yAo5"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/1el__yAo5""></script>"
