	All Respondents	Young men	Young women	Men 35-54	Men 55+	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Q24_10 Society has mostly positive views of men that are masculine									
Don't know 	2	2	3	2	2	2%	1%	3%	1%
Q23_7. Follow rules									
Very important	54	48	52	52	61	54%	59%	41%	50%
Somewhat important	35	38	33	33	35	35%	36%	40%	39%
Not too important	7	9	9	10	4	6%	5%	13%	9%
Not important at all	1	2	2	3	*	2%	0%	4%	1%
Don't know 	2	2	4	2	*	3%	0%	2%	2%
Q23_8. Have final say in family decisions									
Very important	28	32	31	33	21	27%	37%	31%	43%
Somewhat important	33	38	30	36	37	37%	36%	38%	42%
Not too important	24	21	22	23	32	24%	17%	23%	10%
Not important at all	12	6	14	6	8	9%	7%	6%	4%
Don't know 	3	4	4	2	2	4%	3%	4%	2%
Q23_9. Participate in household chores, like cooking and cleaning									
Very important	54	45	50	54	55	49%	56%	38%	53%
Somewhat important	35	37	31	32	39	40%	33%	38%	33%
Not too important	8	12	12	10	3	7%	11%	16%	13%
Not important at all	2	4	4	2	2	3%	0%	6%	2%
Don't know 	1	1	2	2	*	2%	0%	2%	1%
Q24_12. Men and women should be paid the same amount of money if they do the same work									
Strongly agree	65	50	66	55	67	55%	71%	43%	50%
Somewhat agree	23	28	21	30	24	29%	21%	29%	31%
Somewhat disagree	7	13	7	9	5	9%	5%	18%	14%
Strongly disagree	2	5	3	5	2	4%	1%	7%	2%
Don't know 	3	4	3	2	2	2%	2%	5%	4%
Q24_13. A woman should have the exact same job opportunities as a man.									
Strongly agree	53	40	55	50	55	41%	58%	35%	44%
Somewhat agree	30	34	28	31	31	36%	32%	33%	39%
Somewhat disagree	10	16	10	10	10	17%	9%	20%	11%
Strongly disagree	4	5	3	7	2	3%	1%	8%	3%
Don't know 	3	4	4	2	3	4%	1%	5%	3%
Q15. Who or what has had the biggest influence on your views around what it means to be a man?  									
Your mother	38	34	NA	39	41	36	43	32	33
Your father	58	53	NA	57	63	60	52	53	45
Your spouse/partner	27	22	NA	27	31	18	27	22	26
Religion or religious leaders	16	18	NA	16	15	17	14	20	14
Your female friends	8	9	NA	8	7	9	9	8	14
Other family members	27	28	NA	27	25	36	28	21	35
Your male friends	30	31	NA	28	31	32	25	32	29
Social media (e.g., YouTube, Instagram, TikTok)	10	21	NA	8	4	19	23	22	17
Your elementary or high school teachers	10	7	NA	13	10	5	5	7	10
Trade school, college or university professors	11	13	NA	13	9	9	11	14	18
Military service or training	12	8	NA	9	20	7	6	9	6
Celebrities, television or movies	6	11	NA	8	2	10	14	11	10
Other [OTHER SPECIFY]	3	4	NA	3	2	2	10	4	3
Your sports or extracurricular coaches	13	12	NA	16	8	12	7	11	19
Podcasts	4	8	NA	5	1	7	7	8	8
I don’t know [ANCHOR & exclusive]	4	4	NA	3	7	3	4	5	2
