	All Respondents	Young men	Young women	Men 35-54	Men 55+	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Q31_1. Politicians don’t care what people like me think									
Don't know 	4	4	5	5	1	7%	2%	4%	0%
Q29_2. In local communities									
A lot of influence	22	24	27	26	17	19%	32%	23%	29%
Some influence	42	44	39	43	41	44%	40%	45%	44%
A little influence	23	20	22	18	28	23%	16%	21%	16%
No  influence at all	9	10	8	9	13	9%	11%	9%	11%
Don't know 	4	3	4	4	1	5%	2%	3%	0%
Q28. How often, if at all, have you done the following in the last twelve months									
Q28_1. Volunteered in your community  									
Often	11	10	12	14	8	6%	12%	8%	22%
Sometimes	33	34	33	32	25	31%	29%	36%	36%
Hardly ever	21	26	23	20	20	30%	23%	29%	17%
Never	36	30	32	34	48	34%	36%	28%	25%
Q28_2. Attended a non-political community event such as a fair or sports program 									
Often	10	12	14	14	5	11%	14%	11%	14%
Sometimes	35	34	32	42	29	32%	34%	31%	42%
Hardly ever	19	25	20	13	22	24%	21%	27%	20%
Never	36	30	34	32	44	33%	31%	31%	23%
Q28_3. Attended a local government event such as a town hall or board of education meeting									
Often	5	7	6	8	2	2%	12%	5%	17%
Sometimes	19	22	21	20	15	14%	19%	24%	33%
Hardly ever	19	21	19	21	18	24%	11%	23%	13%
Never	57	51	55	51	65	60%	58%	48%	36%
Q28_4. Participated in a protest									
Often	4	6	7	8	2	3%	10%	4%	14%
Sometimes	15	18	21	17	7	13%	14%	18%	31%
Hardly ever	13	20	14	14	11	18%	16%	24%	14%
Never	67	56	58	61	80	66%	60%	54%	41%
Q28_5. Had a conversation with another individual about political or social issues									
Often	23	19	21	21	22	19%	24%	16%	23%
Sometimes	45	45	43	44	44	43%	43%	46%	50%
Hardly ever	17	21	20	19	17	23%	23%	20%	16%
Never	15	16	16	15	17	15%	11%	18%	11%
Q28_6. Attended a religious service									
Often	25	18	19	24	22	14%	18%	17%	26%
Sometimes	25	29	27	23	16	29%	24%	28%	35%
Hardly ever	23	27	25	26	23	29%	24%	30%	18%
Never	27	26	29	26	39	28%	35%	25%	21%
Q28_7. Reached out directly to your elected representatives or their legislative staff									
Often	6	7	7	8	3	6%	8%	5%	14%
Sometimes	18	21	17	19	18	13%	19%	22%	33%
Hardly ever	20	21	23	21	19	22%	14%	23%	15%
Never	56	52	52	52	60	60%	59%	49%	38%
Q28_8. Donated money to a political campaign or cause									
Often	6	8	6	8	3	4%	7%	8%	13%
Sometimes	20	23	24	22	16	16%	25%	22%	35%
Hardly ever	18	21	19	20	16	21%	13%	24%	17%
Never	56	49	51	51	64	58%	55%	46%	35%
Q28_9. Shared or posted online advocating for a political position or opinion									
Often	10	11	14	12	9	8%	16%	8%	22%
Sometimes	26	31	26	31	15	25%	28%	33%	37%
Hardly ever	17	21	19	16	15	23%	12%	25%	14%
Never	47	37	41	41	60	44%	44%	34%	27%
  VOTE2028. What are the chances that you will vote in the November 2028 presidential election?									
Absolutely certain to vote	64	43	46	62	82	45%	51%	41%	44%
Very likely to vote	15	24	24	17	9	25%	12%	25%	25%
Chances are 50-50	11	22	17	10	4	19%	25%	22%	24%
Don't think I will vote	7	8	11	9	3	8%	10%	9%	7%
Not eligible to vote	3	3	3	2	3	3%	2%	4%	0%
