	All Respondents	Young men	Young women	Young men, no degree and not currently enrolled	Young men, college degree	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Not at all	25	16	17	17	14	15%	14%	17%	15%
I don't remember	5	3	2	3	3	3%	5%	3%	2%
I didn't have someone like this in my life	6	4	7	5	2	5%	3%	4%	2%
Q6_5. Your friends									
A lot	13	16	18	13	20	13%	12%	17%	25%
Some	27	31	28	29	33	33%	33%	28%	33%
Not much	23	25	26	26	25	24%	25%	28%	22%
Not at all	31	23	23	27	19	24%	30%	23%	17%
I don't remember	3	3	3	4	1	5%	0%	2%	2%
I didn't have someone like this in my life	3	2	4	3	1	2%	0%	3%	2%
Q6_6. Other family members									
A lot	21	25	28	22	29	19%	29%	23%	42%
Some	29	35	33	34	37	40%	32%	35%	28%
Not much	17	16	18	16	15	16%	14%	17%	14%
Not at all	26	18	16	21	14	17%	19%	20%	13%
I don't remember	4	4	3	5	3	6%	6%	2%	2%
I didn't have someone like this in my life	3	2	3	3	1	3%	0%	3%	1%
Q6_7. Society in general									
A lot	21	30	40	26	34	28%	29%	29%	39%
Some	29	29	28	24	33	30%	37%	26%	26%
Not much	17	22	13	24	19	21%	16%	24%	19%
Not at all	26	14	12	17	11	13%	18%	15%	13%
I don't remember	3	3	3	4	2	4%	0%	3%	3%
I didn't have someone like this in my life	4	3	4	4	1	4%	0%	3%	2%
Q6_8. Your sports or extracurricular coaches									
A lot	11	16	13	14	18	15%	15%	14%	26%
Some	16	25	16	23	27	25%	19%	24%	30%
Not much	15	20	19	17	23	18%	12%	24%	15%
Not at all	34	26	29	27	24	25%	30%	28%	19%
I don't remember	3	3	4	4	1	4%	5%	2%	1%
I didn't have someone like this in my life	20	10	18	13	7	12%	20%	8%	8%
Q6_9. Other community members									
A lot	10	14	15	11	17	10%	17%	13%	19%
Some	22	28	27	24	33	27%	25%	27%	37%
Not much	21	27	22	27	26	30%	18%	27%	25%
Not at all	33	23	26	25	20	20%	25%	26%	14%
I don't remember	5	4	4	6	2	5%	7%	3%	3%
I didn't have someone like this in my life	8	5	8	7	2	7%	8%	3%	2%
Q3. Which of the following BEST describes how you thought about pursuing a college degree after completing high school?									
College was the next step, so I pursued a degree without seriously considering other options	52	48	54	26	72	44%	43%	50%	55%
I did not think college was the right choice for me, so I never seriously considered pursuing a degree	20	22	11	37	6	24%	24%	20%	21%
I had difficulty deciding whether to pursue a college degree or not	18	24	26	29	19	24%	31%	24%	21%
I don’t recall well enough to say [ANCHOR]	10	6	9	9	3	8%	2%	7%	4%
Q7A_5. I felt pressured to enroll in college after high school even though I knew I wasn’t ready for it (Base: No degree and not currently enrolled)									
Strongly agree	16	23	28	23	NA	14%	26%	24%	43%
Somewhat agree	23	29	28	29	NA	24%	25%	32%	30%
Somewhat disagree	20	18	20	18	NA	21%	16%	19%	11%
Strongly disagree	37	22	19	22	NA	28%	25%	21%	13%
Don't know 	5	7	4	7	NA	12%	9%	5%	3%
Q7A_6. In high school, I wish I had better guidance to understand my career options and how to achieve my goals (Base: No degree and not currently enrolled)									
Strongly agree	34	33	45	33	NA	25%	38%	34%	47%
Somewhat agree	31	36	25	36	NA	41%	36%	35%	30%
Somewhat disagree	15	16	16	16	NA	17%	11%	18%	10%
Strongly disagree	14	8	9	8	NA	5%	9%	10%	6%
Don't know 	5	7	5	7	NA	12%	6%	3%	6%
