section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting,"Young men, no degree and not currently enrolled","Young men, college degree"
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_1,"Master’s degree, PhD or other post graduate degrees",Somewhat likely,31,27,27,,,26,19,29,29,27,27
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_1,"Master’s degree, PhD or other post graduate degrees",Not too likley,8,9,11,,,11,4,8,10,11,7
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_1,"Master’s degree, PhD or other post graduate degrees",Not at all likely,3,5,4,,,3,4,7,3,6,4
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_1,"Master’s degree, PhD or other post graduate degrees",Don't know,5,3,4,,,4,0,3,4,4,2
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_2,Bachelor's degree from a 4-year college,Very likely,40,42,43,,,41,43,43,42,42,43
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_2,Bachelor's degree from a 4-year college,Somewhat likely,43,40,38,,,42,49,37,40,37,44
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_2,Bachelor's degree from a 4-year college,Not too likley,8,10,10,,,11,4,11,10,11,9
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_2,Bachelor's degree from a 4-year college,Not at all likely,3,4,6,,,2,4,6,4,5,2
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_2,Bachelor's degree from a 4-year college,Don't know,5,3,3,,,5,0,3,4,4,2
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_3,Associate degree from a 2-year college,Very likely,27,27,26,,,21,33,27,35,28,26
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_3,Associate degree from a 2-year college,Somewhat likely,49,46,45,,,53,50,42,44,48,44
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_3,Associate degree from a 2-year college,Not too likley,15,18,17,,,19,13,20,14,13,24
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_3,Associate degree from a 2-year college,Not at all likely,4,4,7,,,2,1,7,4,4,5
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_3,Associate degree from a 2-year college,Don't know,5,4,5,,,6,3,3,2,6,1
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_4,Diploma or certificate from a trade school,Very likely,43,37,38,,,36,46,33,45,38,36
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_4,Diploma or certificate from a trade school,Somewhat likely,42,44,44,,,47,45,43,43,42,46
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_4,Diploma or certificate from a trade school,Not too likley,7,10,10,,,10,5,13,7,11,9
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_4,Diploma or certificate from a trade school,Not at all likely,3,4,6,,,3,2,7,2,4,5
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_4,Diploma or certificate from a trade school,Don't know,5,4,3,,,5,2,5,3,5,4
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_5,High school diploma,Very likely,24,28,28,,,23,36,27,37,31,25
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_5,High school diploma,Somewhat likely,34,36,34,,,43,37,34,30,40,32
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_5,High school diploma,Not too likley,30,25,26,,,29,25,26,19,22,29
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_5,High school diploma,Not at all likely,7,7,7,,,4,2,10,10,4,11
Degrees of Doubt,Q12,"In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?",Q12_5,High school diploma,Don't know,4,1,5,,,2,0,3,4,3,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_1,Your mother or female guardian,A lot,31,39,42,,,33,42,31,52,30,43
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_1,Your mother or female guardian,Some,25,28,26,,,26,22,31,23,25,31
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_1,Your mother or female guardian,Not much,13,17,12,,,23,19,15,9,19,14
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_1,Your mother or female guardian,Not at all,26,15,14,,,12,15,18,10,20,9
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_1,Your mother or female guardian,I don't remember,2,3,2,,,5,1,3,2,4,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_1,Your mother or female guardian,I didn't have someone like this in my life,3,2,4,,,2,1,2,4,3,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_2,Your father or male guardian,A lot,26,30,29,,,25,35,27,45,21,39
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_2,Your father or male guardian,Some,24,26,25,,,25,19,28,25,24,27
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_2,Your father or male guardian,Not much,13,18,16,,,23,17,17,10,20,15
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_2,Your father or male guardian,Not at all,28,19,20,,,18,19,21,14,24,14
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_2,Your father or male guardian,I don't remember,3,2,4,,,3,0,3,1,3,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_2,Your father or male guardian,I didn't have someone like this in my life,7,6,8,,,7,12,4,6,8,3
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_3,Your high school teachers,A lot,22,27,28,,,27,31,23,33,25,28
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_3,Your high school teachers,Some,30,32,29,,,33,35,32,30,30,35
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_3,Your high school teachers,Not much,16,21,21,,,20,13,22,22,20,21
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_3,Your high school teachers,Not at all,25,15,17,,,11,14,17,13,17,12
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_3,Your high school teachers,I don't remember,4,3,3,,,6,4,2,1,5,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_3,Your high school teachers,I didn't have someone like this in my life,3,2,2,,,2,3,3,2,3,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_4,Your high school guidance counselors or advisors,A lot,21,24,29,,,21,33,20,38,22,27
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_4,Your high school guidance counselors or advisors,Some,27,33,29,,,34,31,35,26,32,34
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_4,Your high school guidance counselors or advisors,Not much,16,21,16,,,23,14,22,18,21,20
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_4,Your high school guidance counselors or advisors,Not at all,25,16,17,,,15,14,17,15,17,14
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_4,Your high school guidance counselors or advisors,I don't remember,5,3,2,,,3,5,3,2,3,3
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_4,Your high school guidance counselors or advisors,I didn't have someone like this in my life,6,4,7,,,5,3,4,2,5,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_5,Your friends,A lot,13,16,18,,,13,12,17,25,13,20
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_5,Your friends,Some,27,31,28,,,33,33,28,33,29,33
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_5,Your friends,Not much,23,25,26,,,24,25,28,22,26,25
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_5,Your friends,Not at all,31,23,23,,,24,30,23,17,27,19
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_5,Your friends,I don't remember,3,3,3,,,5,0,2,2,4,1
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_5,Your friends,I didn't have someone like this in my life,3,2,4,,,2,0,3,2,3,1
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_6,Other family members,A lot,21,25,28,,,19,29,23,42,22,29
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_6,Other family members,Some,29,35,33,,,40,32,35,28,34,37
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_6,Other family members,Not much,17,16,18,,,16,14,17,14,16,15
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_6,Other family members,Not at all,26,18,16,,,17,19,20,13,21,14
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_6,Other family members,I don't remember,4,4,3,,,6,6,2,2,5,3
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_6,Other family members,I didn't have someone like this in my life,3,2,3,,,3,0,3,1,3,1
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_7,Society in general,A lot,21,30,40,,,28,29,29,39,26,34
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_7,Society in general,Some,29,29,28,,,30,37,26,26,24,33
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_7,Society in general,Not much,17,22,13,,,21,16,24,19,24,19
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_7,Society in general,Not at all,26,14,12,,,13,18,15,13,17,11
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_7,Society in general,I don't remember,3,3,3,,,4,0,3,3,4,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_7,Society in general,I didn't have someone like this in my life,4,3,4,,,4,0,3,2,4,1
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_8,Your sports or extracurricular coaches,A lot,11,16,13,,,15,15,14,26,14,18
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_8,Your sports or extracurricular coaches,Some,16,25,16,,,25,19,24,30,23,27
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_8,Your sports or extracurricular coaches,Not much,15,20,19,,,18,12,24,15,17,23
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_8,Your sports or extracurricular coaches,Not at all,34,26,29,,,25,30,28,19,27,24
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_8,Your sports or extracurricular coaches,I don't remember,3,3,4,,,4,5,2,1,4,1
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_8,Your sports or extracurricular coaches,I didn't have someone like this in my life,20,10,18,,,12,20,8,8,13,7
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_9,Other community members,A lot,10,14,15,,,10,17,13,19,11,17
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_9,Other community members,Some,22,28,27,,,27,25,27,37,24,33
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_9,Other community members,Not much,21,27,22,,,30,18,27,25,27,26
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_9,Other community members,Not at all,33,23,26,,,20,25,26,14,25,20
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_9,Other community members,I don't remember,5,4,4,,,5,7,3,3,6,2
Degrees of Doubt,Q6,How much pressure did you feel from each of the following to pursue a college degree?,Q6_9,Other community members,I didn't have someone like this in my life,8,5,8,,,7,8,3,2,7,2
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,"College was the next step, so I pursued a degree without seriously considering other options",52,48,54,,,44,43,50,55,26,72
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,"I did not think college was the right choice for me, so I never seriously considered pursuing a degree",20,22,11,,,24,24,20,21,37,6
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,I had difficulty deciding whether to pursue a college degree or not,18,24,26,,,24,31,24,21,29,19
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,I don’t recall well enough to say [ANCHOR],10,6,9,,,8,2,7,4,9,3
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Strongly agree,16,23,28,,,14,26,24,43,23,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Somewhat agree,23,29,28,,,24,25,32,30,29,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Somewhat disagree,20,18,20,,,21,16,19,11,18,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Strongly disagree,37,22,19,,,28,25,21,13,22,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Don't know,5,7,4,,,12,9,5,3,7,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Strongly agree,34,33,45,,,25,38,34,47,33,
Degrees of Doubt,Q3,Which of the following BEST describes how you thought about pursuing a college degree after completing high school?,,,Somewhat agree,31,36,25,,,41,36,35,30,36,
