section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting,"Young men, no degree and not currently enrolled","Young men, college degree"
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat disagree,18,22,19,,,19,15,27,18,22,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly disagree,35,22,21,,,32,20,19,13,22,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Don't know,5,6,3,,,10,7,3,4,6,
Degrees of Doubt,Q10_2,Men with college degrees are generally seen as smarter and more professional than men without them,,,Strongly agree,26,27,27,,,21,30,27,38,21,34
Degrees of Doubt,Q10_2,Men with college degrees are generally seen as smarter and more professional than men without them,,,Somewhat agree,41,43,40,,,45,39,44,40,41,45
Degrees of Doubt,Q10_2,Men with college degrees are generally seen as smarter and more professional than men without them,,,Somewhat disagree,17,17,18,,,20,18,17,13,20,14
Degrees of Doubt,Q10_2,Men with college degrees are generally seen as smarter and more professional than men without them,,,Strongly disagree,9,8,9,,,7,11,8,6,11,5
Degrees of Doubt,Q10_2,Men with college degrees are generally seen as smarter and more professional than men without them,,,Don't know,7,5,6,,,8,3,4,3,7,2
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly agree,9,11,9,,,3,,11,22,,11
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat agree,12,20,16,,,20,,19,25,,20
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat disagree,21,25,22,,,27,,25,20,,25
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly disagree,56,41,49,,,47,,42,30,,41
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Don't know,2,3,4,,,,,,,,3
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly agree,19,14,23,,,13,17,12,21,14,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat agree,27,33,30,,,28,34,38,25,33,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat disagree,20,21,25,,,19,16,24,23,21,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly disagree,27,24,16,,,32,23,19,22,24,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Don't know,7,8,7,,,7,10,7,9,8,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly agree,20,17,28,,,12,19,17,33,17,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat agree,27,36,32,,,36,46,34,34,36,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat disagree,19,22,18,,,25,18,23,17,22,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly disagree,27,18,14,,,16,18,21,13,18,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Don't know,6,6,7,,,11,0,6,4,6,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly agree,17,22,30,,,10,33,24,28,22,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat agree,25,37,30,,,41,31,36,41,37,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat disagree,20,20,19,,,18,20,22,15,20,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly disagree,32,15,18,,,19,15,14,13,15,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Don't know,6,6,3,,,11,2,5,3,6,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly agree,29,30,41,,,25,41,27,42,30,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat agree,22,34,30,,,37,26,35,27,34,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Somewhat disagree,16,15,15,,,14,15,17,13,15,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Strongly disagree,26,14,10,,,13,11,15,14,14,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,Don't know,7,7,3,,,10,6,7,4,7,
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To gain the specific knowledge and skills needed for a desired job or career,49,44,42,,,45,,44,41,,44
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To achieve long-term financial security and stability for myself or my family,39,39,44,,,41,,36,40,,39
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To build a professional network and make connections that will help my career,19,29,20,,,26,,29,29,,29
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To study a topic I am passionate about or interested in,31,29,34,,,34,,25,29,,29
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To meet new people and have the college experience,18,26,21,,,23,,23,36,,26
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To meet family expectations,19,25,23,,,15,,27,30,,25
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To explore various fields and options before deciding on a career path,19,25,20,,,28,,27,18,,25
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,I pursued it right after high school to get it done quickly since I knew I wanted a degree eventually,22,22,25,,,22,,20,28,,22
Degrees of Doubt,Q10_13,I regret pursuing a college degree (Base: College degree or currently enrolled),,,To be the first in my family to earn a degree,16,15,15,,,12,,14,19,,15
Degrees of Doubt,Q24_9,"Thinking about my life, things are generally going in the right direction",,,Strongly agree,28,26,28,,,25,22,23,36,22,30
Degrees of Doubt,Q24_9,"Thinking about my life, things are generally going in the right direction",,,Somewhat agree,45,42,42,,,42,46,44,37,40,45
Degrees of Doubt,Q24_9,"Thinking about my life, things are generally going in the right direction",,,Somewhat disagree,6,21,17,,,23,13,23,17,25,17
Degrees of Doubt,Q24_9,"Thinking about my life, things are generally going in the right direction",,,Strongly disagree,7,8,8,,,7,18,6,8,9,7
Degrees of Doubt,Q24_9,"Thinking about my life, things are generally going in the right direction",,,Don't know,4,3,5,,,3,1,4,2,4,2
Degrees of Doubt,Q10_10,There are a lot of good job opportunities available for people like me,,,Strongly agree,28,31,25,,,26,32,31,40,27,35
Degrees of Doubt,Q10_10,There are a lot of good job opportunities available for people like me,,,Somewhat agree,39,41,35,,,45,36,41,39,40,42
Degrees of Doubt,Q10_10,There are a lot of good job opportunities available for people like me,,,Somewhat disagree,18,18,22,,,19,21,19,10,21,15
Degrees of Doubt,Q10_10,There are a lot of good job opportunities available for people like me,,,Strongly disagree,8,7,13,,,5,10,6,9,7,6
Degrees of Doubt,Q10_10,There are a lot of good job opportunities available for people like me,,,Don't know,7,4,6,,,5,1,4,3,5,2
Degrees of Doubt,Q9_2,Which of the following statements comes closest to your views?,,,"If I work hard and stay focused, I will end up financially successful in the long run",72,78,65,,,81,78,77,74,73,83
Degrees of Doubt,Q9_2,Which of the following statements comes closest to your views?,,,"No matter how hard I work, it is likely that I will always live paycheck to paycheck",28,22,35,,,19,22,23,26,27,17
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_1,Helping you develop specific skills and knowledge that could be used in the workplace,Extremely useful,34,32,33,,,26,,33,36,,32
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_1,Helping you develop specific skills and knowledge that could be used in the workplace,Very useful,33,35,35,,,43,,29,35,,35
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_1,Helping you develop specific skills and knowledge that could be used in the workplace,Somewhat useful,19,19,23,,,22,,21,14,,19
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_1,Helping you develop specific skills and knowledge that could be used in the workplace,A little useful,8,9,7,,,6,,11,8,,9
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_1,Helping you develop specific skills and knowledge that could be used in the workplace,Not at all useful,5,5,2,,,3,,6,7,,5
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_1,Helping you develop specific skills and knowledge that could be used in the workplace,I don't know,1,,1,,,0,,0,1,,
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_2,Helping you grow personally and intellectually,Extremely useful,36,27,35,,,29,,23,29,,27
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_2,Helping you grow personally and intellectually,Very useful,34,40,36,,,40,,40,40,,40
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_2,Helping you grow personally and intellectually,Somewhat useful,18,21,16,,,24,,24,17,,21
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_2,Helping you grow personally and intellectually,A little useful,7,6,7,,,5,,9,2,,6
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_2,Helping you grow personally and intellectually,Not at all useful,4,4,4,,,1,,4,8,,4
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_2,Helping you grow personally and intellectually,I don't know,1,2,1,,,2,,1,3,,2
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_3,Connecting you directly to internships or other hands-on work experience,Extremely useful,23,24,26,,,15,,20,38,,24
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_3,Connecting you directly to internships or other hands-on work experience,Very useful,26,35,29,,,41,,33,34,,35
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_3,Connecting you directly to internships or other hands-on work experience,Somewhat useful,20,26,25,,,29,,29,19,,26
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_3,Connecting you directly to internships or other hands-on work experience,A little useful,12,7,11,,,7,,9,3,,7
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_3,Connecting you directly to internships or other hands-on work experience,Not at all useful,17,8,8,,,8,,7,6,,8
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_3,Connecting you directly to internships or other hands-on work experience,I don't know,1,1,,,,0,,1,0,,1
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_4,Providing professional networking opportunities,Extremely useful,22,26,23,,,20,,23,28,,26
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_4,Providing professional networking opportunities,Very useful,25,35,30,,,37,,36,39,,35
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_4,Providing professional networking opportunities,Somewhat useful,23,23,28,,,27,,23,17,,23
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_4,Providing professional networking opportunities,A little useful,15,9,10,,,10,,10,8,,9
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_4,Providing professional networking opportunities,Not at all useful,13,7,8,,,7,,8,8,,7
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_4,Providing professional networking opportunities,I don't know,1,1,1,,,0,,1,0,,1
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_5,Finding a community of friends,Extremely useful,21,22,24,,,17,,25,23,,22
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_5,Finding a community of friends,Very useful,30,38,26,,,38,,34,47,,38
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_5,Finding a community of friends,Somewhat useful,24,23,24,,,28,,27,18,,23
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_5,Finding a community of friends,A little useful,12,9,11,,,14,,6,1,,9
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_5,Finding a community of friends,Not at all useful,11,8,14,,,3,,8,11,,8
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_5,Finding a community of friends,I don't know,2,1,1,,,0,,0,0,,
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_6,Helping you find a job that aligns with your talents and interests,Extremely useful,29,25,24,,,22,,25,21,,25
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_6,Helping you find a job that aligns with your talents and interests,Very useful,30,36,31,,,34,,36,42,,36
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_6,Helping you find a job that aligns with your talents and interests,Somewhat useful,19,20,25,,,22,,17,24,,20
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_6,Helping you find a job that aligns with your talents and interests,A little useful,11,11,9,,,19,,10,3,,11
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_6,Helping you find a job that aligns with your talents and interests,Not at all useful,10,8,10,,,4,,10,10,,8
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_6,Helping you find a job that aligns with your talents and interests,I don't know,,1,,,,0,,2,0,,1
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_7,Helping you find a well-paying job,Extremely useful,28,26,19,,,18,,22,39,,26
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_7,Helping you find a well-paying job,Very useful,29,36,37,,,38,,37,30,,36
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_7,Helping you find a well-paying job,Somewhat useful,20,21,21,,,24,,19,21,,21
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_7,Helping you find a well-paying job,A little useful,12,9,11,,,13,,11,1,,9
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_7,Helping you find a well-paying job,Not at all useful,10,8,12,,,7,,11,8,,8
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_7,Helping you find a well-paying job,I don't know,1,,,,,0,,1,0,,
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_8,"Preparing you to participate in civic life, such as voting or volunteering",Extremely useful,19,21,19,,,11,,20,32,,21
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_8,"Preparing you to participate in civic life, such as voting or volunteering",Very useful,22,31,26,,,34,,27,34,,31
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_8,"Preparing you to participate in civic life, such as voting or volunteering",Somewhat useful,25,21,17,,,28,,24,17,,21
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_8,"Preparing you to participate in civic life, such as voting or volunteering",A little useful,13,15,16,,,16,,17,7,,15
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_8,"Preparing you to participate in civic life, such as voting or volunteering",Not at all useful,20,12,20,,,11,,12,11,,12
Degrees of Doubt,Q8,How useful was your college education when it comes to each of the following? (Base: College degree),Q8_8,"Preparing you to participate in civic life, such as voting or volunteering",I don't know,1,,1,,,0,,1,0,,
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_1,Lower the price of tuition and fees,A lot,59,53,59,,,54,76,45,57,49,57
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_1,Lower the price of tuition and fees,Somewhat,28,32,22,,,28,23,37,35,33,32
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_1,Lower the price of tuition and fees,Not much,6,8,11,,,10,1,10,4,9,8
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_1,Lower the price of tuition and fees,Not at all,2,3,3,,,3,0,4,4,3,3
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_1,Lower the price of tuition and fees,Don't know,4,4,5,,,5,0,5,1,7,1
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_2,Provide comprehensive career counseling in high school to help students understand the best pathway to their career goals,A lot,48,42,43,,,46,52,37,46,36,49
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_2,Provide comprehensive career counseling in high school to help students understand the best pathway to their career goals,Somewhat,37,40,40,,,40,45,40,41,41,40
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_2,Provide comprehensive career counseling in high school to help students understand the best pathway to their career goals,Not much,7,10,9,,,8,3,14,7,12,7
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_2,Provide comprehensive career counseling in high school to help students understand the best pathway to their career goals,Not at all,2,3,3,,,1,0,5,3,4,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_2,Provide comprehensive career counseling in high school to help students understand the best pathway to their career goals,Don't know,5,4,5,,,5,0,5,2,6,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_3,Provide comprehensive career counseling to students throughout their time in college,A lot,45,40,45,,,41,51,35,47,35,47
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_3,Provide comprehensive career counseling to students throughout their time in college,Somewhat,39,42,37,,,37,44,43,45,40,43
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_3,Provide comprehensive career counseling to students throughout their time in college,Not much,8,10,9,,,11,2,12,5,12,7
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_3,Provide comprehensive career counseling to students throughout their time in college,Not at all,2,3,5,,,2,3,4,2,4,1
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_3,Provide comprehensive career counseling to students throughout their time in college,Don't know,6,5,6,,,8,0,6,2,9,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_4,Create internships and training programs that allow students to get job experience while earning a degree,A lot,54,45,56,,,45,59,40,55,41,50
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_4,Create internships and training programs that allow students to get job experience while earning a degree,Somewhat,32,35,28,,,37,36,36,32,35,36
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_4,Create internships and training programs that allow students to get job experience while earning a degree,Not much,7,11,8,,,11,3,14,8,12,10
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_4,Create internships and training programs that allow students to get job experience while earning a degree,Not at all,2,4,3,,,2,0,6,4,5,3
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_4,Create internships and training programs that allow students to get job experience while earning a degree,Don't know,5,4,5,,,5,2,5,2,7,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_5,Create partnerships between colleges and employers that establish a direct job placement pipeline for graduates,A lot,51,43,48,,,42,58,39,46,41,46
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_5,Create partnerships between colleges and employers that establish a direct job placement pipeline for graduates,Somewhat,34,40,33,,,38,37,43,41,41,39
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_5,Create partnerships between colleges and employers that establish a direct job placement pipeline for graduates,Not much,6,10,10,,,13,5,10,7,8,11
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_5,Create partnerships between colleges and employers that establish a direct job placement pipeline for graduates,Not at all,3,2,4,,,1,0,4,1,3,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_5,Create partnerships between colleges and employers that establish a direct job placement pipeline for graduates,Don't know,6,4,5,,,5,1,5,3,6,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_6,"Provide students with a broad base of knowledge and transferable skills (e.g., critical thinking, communication, problem-solving, how to use artificial intelligence in the workforce)",A lot,50,41,48,,,43,60,35,44,37,46
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_6,"Provide students with a broad base of knowledge and transferable skills (e.g., critical thinking, communication, problem-solving, how to use artificial intelligence in the workforce)",Somewhat,35,39,34,,,35,32,42,44,41,38
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_6,"Provide students with a broad base of knowledge and transferable skills (e.g., critical thinking, communication, problem-solving, how to use artificial intelligence in the workforce)",Not much,8,12,11,,,14,7,12,8,12,11
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_6,"Provide students with a broad base of knowledge and transferable skills (e.g., critical thinking, communication, problem-solving, how to use artificial intelligence in the workforce)",Not at all,2,4,3,,,4,0,6,2,6,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_6,"Provide students with a broad base of knowledge and transferable skills (e.g., critical thinking, communication, problem-solving, how to use artificial intelligence in the workforce)",Don't know,5,4,5,,,5,1,6,2,5,3
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_7,"Ensure additional financial support is available to meet students’ basic needs (housing, food, transportation, or childcare)",A lot,48,44,53,,,45,62,38,51,40,50
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_7,"Ensure additional financial support is available to meet students’ basic needs (housing, food, transportation, or childcare)",Somewhat,36,39,32,,,35,35,41,42,39,39
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_7,"Ensure additional financial support is available to meet students’ basic needs (housing, food, transportation, or childcare)",Not much,8,10,9,,,13,1,11,5,12,8
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_7,"Ensure additional financial support is available to meet students’ basic needs (housing, food, transportation, or childcare)",Not at all,3,3,3,,,1,1,5,2,4,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_7,"Ensure additional financial support is available to meet students’ basic needs (housing, food, transportation, or childcare)",Don't know,5,4,3,,,6,1,4,1,5,2
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_8,"Require colleges to take on some financial risk, such as paying a share of the loan balance if alumni default",A lot,31,33,33,,,26,50,30,44,33,34
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_8,"Require colleges to take on some financial risk, such as paying a share of the loan balance if alumni default",Somewhat,37,42,37,,,43,38,43,40,40,45
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_8,"Require colleges to take on some financial risk, such as paying a share of the loan balance if alumni default",Not much,14,14,14,,,20,5,15,9,15,14
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_8,"Require colleges to take on some financial risk, such as paying a share of the loan balance if alumni default",Not at all,7,5,6,,,3,5,7,4,5,5
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_8,"Require colleges to take on some financial risk, such as paying a share of the loan balance if alumni default",Don't know,11,5,11,,,8,1,5,3,7,3
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_9,Provide financial bonuses to colleges and universities that do an exceptional job of serving low-income students,A lot,38,40,43,,,37,56,35,48,38,42
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_9,Provide financial bonuses to colleges and universities that do an exceptional job of serving low-income students,Somewhat,37,38,35,,,40,37,37,38,36,40
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_9,Provide financial bonuses to colleges and universities that do an exceptional job of serving low-income students,Not much,11,12,11,,,13,6,15,9,14,10
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_9,Provide financial bonuses to colleges and universities that do an exceptional job of serving low-income students,Not at all,5,4,4,,,4,1,6,4,5,4
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_9,Provide financial bonuses to colleges and universities that do an exceptional job of serving low-income students,Don't know,9,4,7,,,7,1,6,2,7,3
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_10,"Require colleges to publicly report in an easily accessible format, the median earnings and typical debt for graduates by major",A lot,36,35,38,,,31,48,31,45,30,41
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_10,"Require colleges to publicly report in an easily accessible format, the median earnings and typical debt for graduates by major",Somewhat,41,40,38,,,42,43,38,38,39,40
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_10,"Require colleges to publicly report in an easily accessible format, the median earnings and typical debt for graduates by major",Not much,11,15,11,,,16,3,19,10,17,13
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_10,"Require colleges to publicly report in an easily accessible format, the median earnings and typical debt for graduates by major",Not at all,3,4,4,,,3,1,5,5,4,4
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_10,"Require colleges to publicly report in an easily accessible format, the median earnings and typical debt for graduates by major",Don't know,8,7,9,,,8,6,7,3,10,3
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_11,Reduce the total number of credits required for a degree to make it easier for students to graduate quicker,A lot,28,31,32,,,28,39,28,41,31,31
Degrees of Doubt,Q13,"How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans?",Q13_11,Reduce the total number of credits required for a degree to make it easier for students to graduate quicker,Somewhat,33,39,35,,,35,43,40,42,40,38
