section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_2,Protect others around them from harm,Not important at all,1,2,5,1,*,3,1,3,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_2,Protect others around them from harm,Don't know,1,1,2,2,1,1,1,2,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_3,Effectively communicate their emotions,Very important,56,50,65,49,44,53,65,44,55
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_3,Effectively communicate their emotions,Somewhat important,34,37,23,36,44,36,33,40,33
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_3,Effectively communicate their emotions,Not too important,7,8,8,9,11,6,1,11,10
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_3,Effectively communicate their emotions,Not important at all,2,3,3,4,1,4,0,4,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_3,Effectively communicate their emotions,Don't know,2,2,2,2,1,2,1,2,1
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_4,Be an equal partner with their spouse,Very important,70,59,66,62,75,64,84,48,66
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_4,Be an equal partner with their spouse,Somewhat important,22,26,23,28,21,23,14,32,25
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_4,Be an equal partner with their spouse,Not too important,5,9,7,6,3,10,2,12,5
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_4,Be an equal partner with their spouse,Not important at all,2,3,2,3,*,1,0,6,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_4,Be an equal partner with their spouse,Don't know,1,2,3,1,1,2,0,2,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_5,Collaborate and work well with others,Very important,63,52,61,58,66,59,65,44,57
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_5,Collaborate and work well with others,Somewhat important,31,36,26,35,30,35,32,38,36
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q23_5,Collaborate and work well with others,Not too important,4,8,8,5,3,5,4,12,5
