section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Disagree,22,22,26,23,29,24,19,24,14
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Strongly disagree,29,16,28,20,33,16,30,13,15
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Don't know,3,5,3,5,,10,1,3,2
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Strongly agree,52,29,40,44,68,32,25,24,41
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Agree,25,35,30,29,22,33,46,33,35
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Neither agree nor disagree,14,24,19,18,7,18,24,29,19
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Disagree,3,8,5,3,2,12,3,9,2
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Strongly disagree,2,2,4,3,,2,2,3,2
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Don't know,3,2,2,4,,4,0,2,1
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_1,Average Americans,A lot,13,17,13,16,7,15,20,15,25
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_1,Average Americans,Some,30,30,28,31,31,29,22,32,33
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_1,Average Americans,Not much,38,36,40,30,47,40,47,36,23
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_1,Average Americans,None at all,15,14,14,19,14,12,11,16,18
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_1,Average Americans,Don't know,4,3,5,3,2,5,0,2,1
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_2,A few elites,A lot,48,45,47,48,52,44,62,41,49
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_2,A few elites,Some,31,33,29,28,32,27,25,36,41
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_2,A few elites,Not much,9,12,13,12,8,13,7,16,5
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_2,A few elites,None at all,5,5,5,7,4,7,4,5,5
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_2,A few elites,Don't know,6,4,7,6,4,10,1,3,1
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_3,Wealthy individuals and large donors,A lot,56,49,51,52,62,47,66,44,60
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_3,Wealthy individuals and large donors,Some,27,31,28,28,28,31,26,33,32
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_3,Wealthy individuals and large donors,Not much,7,12,9,7,6,11,6,16,5
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_3,Wealthy individuals and large donors,None at all,5,5,7,8,2,5,3,6,2
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_3,Wealthy individuals and large donors,Don't know,5,3,5,4,2,5,0,2,1
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_4,Large corporations,A lot,52,48,48,53,56,49,63,42,54
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_4,Large corporations,Some,31,31,30,30,32,30,29,32,35
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_4,Large corporations,Not much,8,13,13,7,7,13,5,17,9
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_4,Large corporations,None at all,4,4,4,6,2,3,1,5,3
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_4,Large corporations,Don't know,4,3,4,5,3,5,2,4,1
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_5,Elected politicians,A lot,44,41,42,39,49,38,51,38,51
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_5,Elected politicians,Some,37,36,36,40,37,34,35,38,35
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_5,Elected politicians,Not much,10,15,12,9,8,17,9,16,8
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_5,Elected politicians,None at all,5,5,5,7,3,4,4,6,4
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_5,Elected politicians,Don't know,5,4,5,4,3,7,1,3,3
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_6,Lobbies or special interest groups,A lot,39,30,26,41,51,32,38,24,43
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_6,Lobbies or special interest groups,Some,38,40,38,37,34,37,38,42,42
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_6,Lobbies or special interest groups,Not much,12,17,23,12,8,15,15,22,9
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_6,Lobbies or special interest groups,None at all,5,6,6,5,3,7,5,5,5
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_6,Lobbies or special interest groups,Don't know,6,6,6,5,4,9,5,7,2
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_7,Community organizations/ Non-Profits,A lot,13,13,14,13,10,11,14,11,26
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_7,Community organizations/ Non-Profits,Some,43,43,39,46,46,43,44,43,42
Alienated and (Dis)Engaged,Q30,How much power do you believe each of the following has in influencing policy change in the United States?,Q30_7,Community organizations/ Non-Profits,Not much,30,30,32,25,35,30,30,34,20
